dv2_vulnerability_quartile,keyword,keyword_count,n_lgas,n_reviews,mean_dv2,rank_within_dv2_quartile
Q1 lowest DV2,journey,172,30,133,6.761739726666008,227
Q1 lowest DV2,didn,171,33,142,6.434135599401131,228
Q1 lowest DV2,excited,171,31,165,6.727572394827278,229
Q1 lowest DV2,forward,171,34,170,6.734445976079472,230
Q1 lowest DV2,nothing,171,37,159,6.569332068502534,231
Q1 lowest DV2,hard,170,37,167,6.636379890170911,232
Q1 lowest DV2,full,169,35,149,6.559303919576458,233
Q1 lowest DV2,cared,168,32,166,6.641059848862008,234
Q1 lowest DV2,sure,168,35,153,6.514506189293743,235
Q1 lowest DV2,told,168,25,120,6.2494832295273905,236
Q1 lowest DV2,educational,167,35,163,6.646368126915362,237
Q1 lowest DV2,app,165,29,147,6.937073692484601,238
Q1 lowest DV2,attention,165,32,161,6.5262926204704605,239
Q1 lowest DV2,space,164,32,149,6.570058982550246,240
Q1 lowest DV2,find,162,31,151,6.80241874190923,241
Q1 lowest DV2,leaving,162,32,152,6.562676582310466,242
Q1 lowest DV2,these,162,34,137,6.517185440027231,243
Q1 lowest DV2,easy,161,32,152,6.617842484007695,244
Q1 lowest DV2,goes,160,36,154,6.622112199382306,245
Q1 lowest DV2,away,157,35,150,6.476144062918497,246
Q1 lowest DV2,dedicated,157,32,155,6.523729486776971,247
Q1 lowest DV2,sending,157,30,153,6.699279868258161,248
Q1 lowest DV2,transition,156,32,146,6.4432998136560435,249
Q1 lowest DV2,knowing,155,32,151,6.813109169939019,250
Q1 lowest DV2,start,155,35,137,6.57144259558034,251
Q1 lowest DV2,attend,153,32,145,6.5868919740374565,252
Q1 lowest DV2,educator,153,25,136,6.654329592499496,253
Q1 lowest DV2,life,152,34,140,6.421575043308273,254
Q1 lowest DV2,confidence,151,29,146,6.4573804871886855,255
Q1 lowest DV2,bad,150,29,135,6.6674028534512075,256
Q1 lowest DV2,thrive,150,28,122,6.5972625012406905,257
Q1 lowest DV2,confident,149,33,140,6.6527825267072584,258
Q1 lowest DV2,looked,149,31,148,6.503700928064937,259
Q1 lowest DV2,whole,149,32,143,6.483129001765204,260
Q1 lowest DV2,nursery,148,23,133,6.510785054193821,261
Q1 lowest DV2,almost,147,32,143,6.781368047596118,262
Q1 lowest DV2,appreciate,147,31,143,6.689886170295202,263
Q1 lowest DV2,experiences,147,35,143,6.7469305720446435,264
Q1 lowest DV2,open,146,32,140,6.488004942309642,265
Q1 lowest DV2,right,145,35,137,6.557909156657165,266
Q1 lowest DV2,carers,144,30,126,6.709873750634122,267
Q1 lowest DV2,engaging,144,32,144,6.645750575756517,268
Q1 lowest DV2,meals,144,26,140,6.594816371961423,269
Q1 lowest DV2,working,144,33,132,6.5950808610321126,270
Q1 lowest DV2,overall,143,33,137,6.621414354443963,271
Q1 lowest DV2,passionate,143,35,142,6.742441049434704,272
Q1 lowest DV2,again,142,31,127,6.641115411684987,273
Q1 lowest DV2,however,142,33,125,6.492804767359704,274
Q1 lowest DV2,impressed,142,31,140,6.738220801300191,275
Q1 lowest DV2,toddler,142,31,128,6.757222465761706,276
Q1 lowest DV2,healthy,140,30,136,6.72480054806712,277
Q1 lowest DV2,able,139,26,123,6.4642168247969245,278
Q1 lowest DV2,coming,139,32,136,6.723367584688746,279
Q1 lowest DV2,boys,138,29,99,6.652928423180543,280
Q1 lowest DV2,decision,138,30,131,6.762278041236411,281
Q1 lowest DV2,due,137,33,121,6.481536366760688,282
Q1 lowest DV2,ones,137,34,132,6.742590151722953,283
Q1 lowest DV2,tell,137,29,130,6.816110376754518,284
Q1 lowest DV2,level,136,33,127,6.589787598391958,285
Q1 lowest DV2,stars,136,33,105,6.236718681384124,286
Q1 lowest DV2,super,135,34,125,6.593924467233334,287
Q1 lowest DV2,far,134,30,132,6.748040663097992,288
Q1 lowest DV2,moment,134,33,130,6.580826507535054,289
Q1 lowest DV2,came,133,29,120,6.556459129895934,290
Q1 lowest DV2,chef,133,22,130,6.756656349520852,291
Q1 lowest DV2,girl,133,30,111,6.529144214281003,292
Q1 lowest DV2,social,133,32,130,6.494031661818092,293
Q1 lowest DV2,next,132,32,128,6.565328354386797,294
Q1 lowest DV2,story,131,19,99,5.620792874127484,295
Q1 lowest DV2,concerns,130,29,116,6.236342734112886,296
Q1 lowest DV2,long,130,33,124,6.548168357012013,297
Q1 lowest DV2,own,130,29,123,6.519890072588567,298
Q1 lowest DV2,ago,129,30,125,6.375754148090114,299
Q1 lowest DV2,past,129,34,126,6.650923358188459,300
Q1 lowest DV2,photos,129,27,122,6.814086556031402,301
Q1 lowest DV2,think,129,33,121,6.571502400743728,302
Q1 lowest DV2,helped,128,27,116,6.639028505212737,303
Q1 lowest DV2,took,128,32,116,6.629495607579634,304
Q1 lowest DV2,programs,127,32,122,6.7673192689641555,305
Q1 lowest DV2,throughout,127,34,122,6.8014670323695805,306
Q1 lowest DV2,extra,126,32,123,6.771016961820567,307
Q1 lowest DV2,age,125,29,120,6.611448537079239,308
Q1 lowest DV2,growth,125,32,117,6.387966620733738,309
Q1 lowest DV2,said,125,25,97,6.50733043073346,310
Q1 lowest DV2,same,125,32,111,6.66045908375222,311
Q1 lowest DV2,without,125,31,117,6.409873604075336,312
Q1 lowest DV2,boy,121,30,103,6.830960135172991,313
Q1 lowest DV2,comes,121,28,119,6.874049232387109,314
Q1 lowest DV2,enjoy,121,32,117,6.568042162090322,315
Q1 lowest DV2,issues,121,29,110,6.692111522467943,316
Q1 lowest DV2,should,121,27,103,6.376665051566976,317
Q1 lowest DV2,providing,120,33,118,6.591540371775365,318
Q1 lowest DV2,teaching,120,31,110,6.545296585276601,319
Q1 lowest DV2,change,119,33,111,6.355335515698093,320
Q1 lowest DV2,feels,119,32,115,6.7164494933558965,321
Q1 lowest DV2,huge,119,30,110,6.83396161187207,322
Q1 lowest DV2,weeks,119,29,105,6.680829331853451,323
Q1 lowest DV2,recently,118,29,114,6.6095386943113645,324
Q1 lowest DV2,classes,117,22,97,6.205911520571756,325
Q1 lowest DV2,experienced,117,32,114,6.790101882121769,326
Q1 lowest DV2,month,117,29,108,6.600995287842321,327
Q1 lowest DV2,genuine,116,29,112,6.594391610001789,328
Q1 lowest DV2,taking,116,28,108,6.510967979835517,329
Q1 lowest DV2,world,116,29,102,6.905513821419822,330
Q1 lowest DV2,settled,115,30,113,6.887568701846677,331
Q1 lowest DV2,enjoys,114,29,112,6.689670145278572,332
Q1 lowest DV2,learnt,114,26,107,6.938002621486164,333
Q1 lowest DV2,progress,114,29,113,6.6114509984377925,334
Q1 lowest DV2,young,114,25,104,6.548450944829096,335
Q1 lowest DV2,down,112,34,108,6.333381115657133,336
Q1 lowest DV2,getting,112,30,105,6.628497658357369,337
Q1 lowest DV2,given,111,34,107,6.61694297334737,338
Q1 lowest DV2,questions,111,25,102,6.724026925861769,339
Q1 lowest DV2,dedication,110,25,107,6.66259440316164,340
Q1 lowest DV2,guardian,110,3,88,7.2135591224154805,341
Q1 lowest DV2,run,110,31,104,6.597797184836918,342
Q1 lowest DV2,taken,110,29,109,6.652207893389819,343
Q1 lowest DV2,something,109,28,102,6.744570711299297,344
Q1 lowest DV2,helping,108,30,104,6.746809452970478,345
Q1 lowest DV2,smile,108,24,105,6.974443855840257,346
Q1 lowest DV2,student,108,21,82,6.482458580773424,347
Q1 lowest DV2,top,108,33,104,6.74276355991964,348
Q1 lowest DV2,tour,108,28,94,6.941872461887569,349
Q1 lowest DV2,gone,107,30,102,6.562550983608681,350
Q1 lowest DV2,under,107,25,100,6.650865238249404,351
Q1 lowest DV2,wait,107,25,97,6.432203862995053,352
Q1 lowest DV2,awesome,106,26,104,6.625779938674465,353
Q1 lowest DV2,looks,106,27,104,6.785101070884904,354
Q1 lowest DV2,strong,106,30,102,6.479349057006426,355
Q1 lowest DV2,accommodating,104,28,103,6.768501370684432,356
Q1 lowest DV2,curriculum,104,29,102,6.585951781035982,357
Q1 lowest DV2,effort,104,35,99,6.957899196631714,358
Q1 lowest DV2,important,104,27,98,6.739168317279037,359
Q1 lowest DV2,thing,104,29,100,6.746778648962363,360
Q1 lowest DV2,front,103,26,95,6.215333883054509,361
Q1 lowest DV2,review,103,26,77,6.470046671347801,362
Q1 lowest DV2,though,103,30,96,6.4573107067951225,363
Q1 lowest DV2,hill,102,10,82,7.178214567608275,364
Q1 lowest DV2,informed,102,30,94,6.461824166035425,365
Q1 lowest DV2,outstanding,102,28,95,6.503268099674838,366
Q1 lowest DV2,variety,102,26,100,6.715421042974436,367
Q1 lowest DV2,atmosphere,101,28,99,6.596378143602917,368
Q1 lowest DV2,glad,101,32,100,6.744399846880419,369
Q1 lowest DV2,group,101,27,94,6.616043298007064,370
Q1 lowest DV2,pre,101,25,84,6.561916978821617,371
Q1 lowest DV2,ease,100,28,97,6.768063169848657,372
Q1 lowest DV2,others,100,27,97,6.549790352259934,373
Q1 lowest DV2,seeing,100,29,90,6.456766165617673,374
Q1 lowest DV2,name,99,29,91,6.533375463596028,375
Q1 lowest DV2,speak,99,32,92,6.464193734415018,376
Q1 lowest DV2,welcome,99,28,98,6.583860597822306,377
Q1 lowest DV2,engaged,98,26,98,6.551028167541117,378
Q1 lowest DV2,entire,98,30,95,6.666069044690765,379
Q1 lowest DV2,mind,98,29,95,6.561395412931024,380
Q1 lowest DV2,including,97,28,93,6.722702879793466,381
Q1 lowest DV2,person,97,28,90,6.53936707312589,382
Q1 lowest DV2,anything,96,27,89,6.34207072221637,383
Q1 lowest DV2,enjoyed,96,25,96,6.700476641407484,384
Q1 lowest DV2,money,96,27,81,6.508381461903729,385
Q1 lowest DV2,once,96,30,88,6.604467775782401,386
Q1 lowest DV2,until,96,25,93,6.272004309304001,387
Q1 lowest DV2,why,96,26,83,6.471274649548384,388
Q1 lowest DV2,choice,95,30,93,6.6489735071624,389
Q1 lowest DV2,quite,95,29,83,6.5274401027161995,390
Q1 lowest DV2,show,95,31,91,6.603612118307434,391
Q1 lowest DV2,ensure,94,23,90,6.747855706744949,392
Q1 lowest DV2,learned,94,26,94,6.568166827064518,393
Q1 lowest DV2,received,94,31,90,6.431149022616449,394
Q1 lowest DV2,starting,94,30,93,6.821729154342143,395
Q1 lowest DV2,enrolled,93,25,93,6.813086263201473,396
Q1 lowest DV2,jenny,93,5,75,7.104872648348858,397
Q1 lowest DV2,ask,92,29,86,6.710843630356912,398
Q1 lowest DV2,asked,92,27,78,6.614350208821205,399
Q1 lowest DV2,does,92,27,87,6.64228884762734,400
Q1 lowest DV2,doesn,92,30,82,6.512733062438599,401
Q1 lowest DV2,end,92,30,87,6.787106820781702,402
Q1 lowest DV2,needed,92,24,84,6.569160633423385,403
Q1 lowest DV2,thriving,92,29,92,6.688074844804636,404
Q1 lowest DV2,call,91,22,73,6.405609328965069,405
Q1 lowest DV2,creating,91,33,90,6.508766596980088,406
Q1 lowest DV2,develop,91,27,90,6.606078347589465,407
Q1 lowest DV2,location,91,24,86,6.259601163286432,408
Q1 lowest DV2,scdc,91,1,55,4.79134466769706,409
Q1 lowest DV2,bit,90,26,85,6.584310692782771,410
Q1 lowest DV2,kept,90,31,88,6.561091420561282,411
Q1 lowest DV2,lucky,90,27,87,6.742421225527058,412
Q1 lowest DV2,paisley,90,3,57,6.742042347062561,413
Q1 lowest DV2,three,90,30,84,6.622876885783089,414
Q1 lowest DV2,areas,89,27,86,6.76204076423697,415
Q1 lowest DV2,primary,89,28,84,6.773272107159881,416
Q1 lowest DV2,regular,89,26,84,6.620312549487113,417
Q1 lowest DV2,used,89,28,81,6.629361455002353,418
Q1 lowest DV2,feedback,88,27,81,6.711042419133481,419
Q1 lowest DV2,sense,88,28,82,6.332369643922802,420
Q1 lowest DV2,feeling,87,26,81,6.757359533473332,421
Q1 lowest DV2,believe,86,26,78,6.542720148634577,422
Q1 lowest DV2,please,86,30,78,6.609821664587469,423
Q1 lowest DV2,become,85,25,79,6.394968849227188,424
Q1 lowest DV2,often,85,28,78,6.839170839820847,425
Q1 lowest DV2,sent,85,30,81,6.546464414727651,426
Q1 lowest DV2,staffs,85,20,75,7.037192775407825,427
Q1 lowest DV2,talk,85,32,82,6.4291213880421045,428
Q1 lowest DV2,understanding,85,25,83,6.648821179387631,429
Q1 lowest DV2,actually,84,29,81,6.537220882826118,430
Q1 lowest DV2,between,84,28,81,6.6377141571621685,431
Q1 lowest DV2,donna,84,1,48,7.698199923400999,432
Q1 lowest DV2,knew,84,28,79,6.537667114343086,433
Q1 lowest DV2,perfect,84,27,82,6.4647162094561,434
Q1 lowest DV2,ready,84,25,78,6.813795956259462,435
Q1 lowest DV2,rude,84,26,77,6.3331390304365645,436
Q1 lowest DV2,trust,84,25,80,6.557067957247996,437
Q1 lowest DV2,provides,83,28,82,6.902679597554726,438
Q1 lowest DV2,short,83,31,82,6.506087712102658,439
Q1 lowest DV2,welcomed,83,26,83,6.625285305026419,440
Q1 lowest DV2,daughters,82,33,78,6.316761649407103,441
Q1 lowest DV2,hours,82,24,77,6.544062047393202,442
Q1 lowest DV2,individual,82,29,80,6.643452172718142,443
Q1 lowest DV2,knowledgeable,82,28,80,6.59837528800582,444
Q1 lowest DV2,members,82,27,72,6.565193406348303,445
Q1 lowest DV2,single,82,31,76,6.773384858555572,446
Q1 lowest DV2,covid,81,26,77,6.758891520946828,447
Q1 lowest DV2,etc,81,27,75,6.641612544024857,448
Q1 lowest DV2,may,81,31,76,6.467169984057282,449
Q1 lowest DV2,offer,81,31,75,6.597021292934942,450
Q1 lowest DV2,supported,81,28,78,6.628349447118389,451
Q1 lowest DV2,those,81,33,78,6.544483592058153,452
Q1 lowest DV2,wasn,81,23,69,6.100825487640942,453
Q1 lowest DV2,wish,81,26,77,6.500713828185775,454
Q1 lowest DV2,doctor,80,6,63,5.732688698458029,455
Q1 lowest DV2,else,80,28,78,6.552488928234277,456
Q1 lowest DV2,heart,80,26,73,6.615315522509182,457
Q1 lowest DV2,organised,80,24,79,6.662188373507881,458
Q1 lowest DV2,use,80,25,78,6.763733680647427,459
Q1 lowest DV2,west,80,9,66,6.91853319143825,460
Q1 lowest DV2,face,79,26,72,6.794967710386827,461
Q1 lowest DV2,involved,79,27,78,6.672702478606429,462
Q1 lowest DV2,met,79,24,78,6.49549535961115,463
